userName,score,at,Ulasan,Sentimen Widi,Sentimen Nanda,"Sentimen Dra. UMI KOLISOH, M.Pd",Sentimen,Keterangan:
Mas Opick,3,2021-12-28 1:21:00,"ada penarikan pulsa tanpa adanya persetujuan dari konsumen,yg seharusnya tidak terjadi karna akan merusak citra proveder XL sendiri semisal sms dari nomor 99876 dll terus adanya paket tlp harian yg tanpa adanya persetujuan dari konsumen ini uda sebagian bentuk dari kecurangan kita stop ya gak bisa karna paket harian,pada akhirnya konsumen gak lagi stok pulsa di sim card",1,1,1,-1,
Ahmad Nur Kholis,3,2021-12-28 1:17:00,"Akhir2 ini Jaringan XL jadi kadang ilang sendiri, trus buat ngebuka beberapa aplikasi harus dimode pesawat dulu atau gk bisa masuk sama sekali. Buat masuk aplikasi XL aja gk bisa masuk, jadi kalo tiap cek info harus lewat nomor. Tolong diperbaiki, harga dinaikin ke harga yg sewajarnya gk apa2, masalah jaringan diperbaiki. Tolong ditanggapi, makasih.",3,3,3,0,
Ilham Colo,3,2021-12-28 16:26:00,"Hanya saran ya,,, supaya ada pengaturan paket kuota. kan ada paket combo, hotdrod, mini, game, dll. Kalo kita punya dua paket berbeda bisa ngatur,mana dulu yang mau dipake, jadi paketnya berkurang sesuai keinginan kita, tidak ngurang sesuai tanggal beli. Kalo sesuai tgl beli, kita kan rugi, kalo kita beli paket lagi yg berbeda dari yang pertama, paket yg pertama gk bisa kepakai.",3,3,3,0,
Novia Sitorus,1,2021-12-28 15:50:00,"Permisi... Saya mau nanya kenapa di saat saya mau klik pilih bonus tidak ada respon dan keluar dengan kata aplikasi tidak merespon, saya Download ulang sudah saya lakukan, saya restat hp saya sudah coba, udh bebrpa kali saya coba tetap seperti itu.. Mohon balesan y",3,3,3,0,
Djo Jo,1,2021-12-28 15:19:00,Apk nya tiba tiba terhenti mendadak dan tidak merespon ketika ingin menukarkan point' dan mengklaim bonus kuota jika ingin lebih baik dari jaringan operator lain perbaiki segera agar konsumen puas,3,3,3,0,
Tatang Arhata,4,2021-12-27 8:55:00,"Saya tdk banyak paham tentang PRIORITAS XL, karena info dr sales lewat phone cuma iya..iya..saja, tahunya terasa praktis PRIORITAS XL, kendala sekarang jika mau membayar apa bisa di Alfamart? Tolong bantu iya mas/mbak. Tks.",3,3,3,0,
Ven Reiven,1,2021-12-27 4:37:00,"1-10 nilai keunggulan &kekurangan card XL ,Keunggulan : dari card XL itu,buat download,streming,sosial media enak, nilai 8 ,Kekurangan :dari card XL itu,dibuat maen game jaringan buruk, nilai 2 ,Mending pakek jaringan WIFI stabil ....",3,3,3,0,
Anissa Nur Melinda,3,2021-12-27 2:18:00,"Minta tolong, maya kalo di chat gak usah bertele-tele yaa.. saya bingung mau nyampein keluhan kok bonus kuota aplikasinya nggak masuk, gak bisa di klaim. Tapi si maya gak bisa kasih solusinyaðŸ™ƒ",3,3,3,0,
Ucu Mustoharoh,1,2021-12-27 13:53:00,"sedih...dibuka susah, pdahal jaringan bagus,restart hp sudah berkali-kali... pas buka myxl baru masuk sebentar mau aktifin paket eeh tau-tau sudah keluar lagi lagi lagi dan lagi..ðŸ˜£ sampe capek bolak balik terus ðŸ™ðŸ™",1,1,1,-1,
Azzahra Hanum,2,2021-12-27 13:13:00,"Disitu ada tulisan ambil bonus anda tapi pas saya mau ambil bonusnya ada tulisan 'Oops, terjadi kesalahan dalam proses aktivasi, silahkan tunggu beberapa saat lagi' tapi tetep aja gak bisa, tolong dong XL dibantu",3,3,3,0,
Um Sonhaji,5,2021-12-27 0:19:00,"Terimakasih XL , semenjak saya ke gerai untuk aktifkan 4G signal kencang luar biasa.... Pekerjaan yg membutuhkan koneksi internet jadi gak terhambat..... IS THE BEST pokok nya ....Konsisten dalam pelayanan terus menerus SALAM IMPROVEMENT",2,2,2,1,
Ari Anggara,1,2021-12-26 8:54:00,"penangan internet XL Home selalu lambat, tiap kali internet bermasalah diminta hanya bersabar menunggu berhari2 tanpa ada visit lgsg ke lapangan. skrg aplikasi mlh gak bisa dibuka sama sekali, selalu tiba2 klr. payahh.",1,1,1,-1,
Jengklong City,1,2021-12-26 8:12:00,Kalo buat gamers sangat tidak rekomendasi buat paket.. Yg di berikan xl mllb sama ff.. Jangan ambil yg free karna buat maen game jaringan menghubungkan tiap rank.. Mending ambil yg unlimited YouTube.. Kalo ambil yg free game.. Sangat gak jelas padahal di jaringan full .. Parah,1,1,1,-1,
Noval Selamet,1,2021-12-26 7:30:00,"Sangat mengecewakan , awalnya tidak pake pin ,, sekarang sudah pake pin dan dimana lagi di suruh buat pin ,,, sudah di buat pin nya .. Eh malah gagal mulu , sudah puluhan kali tapi tetep masih gagal . Bikin emosi ðŸ˜‘ . Tolong d perbaiki .",1,1,1,-1,
Pian Ardiansyah,1,2021-12-26 2:11:00,"2x pulsa kepotong (berkurang) sendiri, pertama ada keterangan nya di riwayat transaksi, yg ke 2 hilang tanpa keterangan dg nominal yg ga sedikit (menurut saya) 60k Sangat-sangat kecewa ðŸ‘ŽðŸ‘ŽðŸ‘Ž SAYA SUDAH MENGAKTIFKAN FITUR KONTROL PULSA JAUH SEBELUM PULSA SAYA TERPOTONG",1,1,1,-1,
Catra Cadudasa,3,2021-12-26 23:24:00,"untuk kualitas internet sih bisa di bilang terbaik, cuma sering ada lag 3detik setetiap beberapa saat hal itu sangat mengganggu saya khususnya saat bermain game, dan di SMS ada diskon ketika saya buka *123*4*3# tidak ada diskon sama sekali.",3,3,3,0,
agus yuliandra,1,2021-12-26 22:47:00,Parah ni. Masak aku pake wifi tapi pulsa tetep kesedot. Jelas banget lagi pas mau beli paket masih ada tu pulsanya giliran pas beli gagal terus tapi pulsa ikut raip.. Padahal proses aktivasi pake wifi..,1,1,1,-1,
Nur Hidayati,1,2021-12-26 21:02:00,"Tiap ari update terus, sementara mau menonaktifkan sesuatu eror terus. Kalo kayak gini trus pulsa dibiarin habis dulu baru isi ulang. Dari pada eror mulu....",1,1,1,-1,
Teguh Setyanto,4,2021-12-26 1:53:00,"Kuota masih banyak, tapi seringnya lemot jaringan xl, bikin pusssiiiing...ðŸ™‹ kenapa kuota ndak akumulasi vocher extra kombo lite sisa 4 Gb, ditambah Vocher lagi baru kok 4 Gbnya gak ada? Mohon pencerahan. Trims. Dan masih sama",3,3,3,0,
Lani Novriantho,1,2021-12-26 17:11:00,"Udah paketan XL prioritas harusnya kouta sisa bisa ke akumulasi sama kouta baru, tapi ini malah ke reset semua, gak jelas tau gt mending gak usah pake embel"" kouta xl prioritas anti hangus, kouta gak ada pulsa kepotong stress lu",1,1,1,-1,
koeching oyen,1,2021-12-26 16:46:00,Terlalu sering lelet . Pulsa sering kepotong . Suka suka nenek moyang mu aja Potong pulsa . Ini namanya melanggar hak konsumen untuk menyisihkan pulsa. Mana jaringan nya lelet. XL 'Xlalu Lelet'.,1,1,1,-1,
REFAN 1998,1,2021-12-26 16:39:00,Kenapa sinyal sekarang malah tambah lag dan sering sekali hilang koneksi Apakah PT XL tidak bisa mengurus semua itu Kami kecewa dengan ini saya beli paket mahalÂ² tapi apa sinyal aja jelek gini tolong sekali secepat mungkin di perbaiki terimakasih ðŸ‘Œ *SEMOGA DI BACA KALAU TDK BERARTI SUDAH TAK MAU LAGI MENGURUS SEMUA KOMENTAR KAMI DAN ANDA LALAI DENGAN PERTANGGUNGJAWABAN ANDA*,3,3,3,0,
back To nature,1,2021-12-26 16:28:00,"xl kenceng bgt nyedot paket, jaringan low tapi paket cepet abis... beda bgt sama plat merah... aplikasi juga sering updateÂ² ga ad perubahan... wa juga lama bgt k'send, ga bebas browsing lagi... vendornya juga ga jelas yg manaÂ²... B.4.B.1",1,1,1,-1,
Julian Haloho,1,2021-12-26 16:10:00,Sinyalnya jelek. Buat emosi kalau main game. Pokoknya jaringannya kalau bisa diperbaikin wilayah bagian berastagi. Kalau gk bisa diperbaikin. Jangan lagi dijual kartunya. Buat konsumen kecewa aja. Terima kasih. Salam dari kota berastagi kab: karo,1,1,1,-1,
Abuey 30,1,2021-12-26 15:09:00,"Maaf yah XL biarpun kartu sya dari tahun 2000 XL bebas 10 angka , tp maaf sya rasa alasan sya udh cukup bersabar selain masa tenggang yg minim serta beberapa minggu terakhir ini jaringan gk jelas , untuk YouTube sangat LANCAR tp untuk fb ig social chat massager sulit buat dibuka , entah apa yg merasukimu XLANGKAH MAU MUNDUR , sya pindah haluan dlu kesebelah si merah promonya lagi bombastis , gk kaya kamu, ku relakan nomerku 10digitku hilang bak ditelan bumi smoga XL XEMAKIN MUNDUR!",1,1,1,-1,
irwan cm,3,2021-12-26 14:51:00,"Setiap malam dan cuaca mau hujan, pasti jaringan nya putus2. Tolong dong pihak XL di kuat kan lagi server nya, jadi tidak nyaman lagi menggunakan kuota data nya kalau setiap malam dan cuaca mau hujan jaringan server nya putus terus.",3,3,3,0,
jamal mirdad,1,2021-12-26 14:41:00,"Sekarang2 suka eror ,terjadi ke salahan terus. Mohon di tingkatkan pelayanan nya. Saya gunakan my xl. Mau tambah no baru terjadi ke salahan aja.",3,3,3,0,
Alfita Norma,5,2021-12-26 14:19:00,"Menikmati kenyamanan sebagai pelanggan prioritas yg sinyalnya ga pernah diprioritasin. Tetep dikasi bintang lima, biar semua pegawainya bahagia, yg paling bahagia sudah pasti bos2nya.",2,2,2,1,
Def channel,2,2021-12-26 13:21:00,"semakin kesini, bukan nya semakin, bagus, tapi semakin buruk jaringan 4g, nya, kadang2 ngilang, kalau quota, mungkin xl termasuk murah, di banding provider lain, tapi yaitulan sinyal nya tak stabil, di daerah saya.",1,1,1,-1,
agus triyanto,1,2021-12-26 13:13:00,Aplikasi ini gunanya buat apaan sih..???? Mau belipaket internet aj ga ada di menu pembelian... Giliran live chat jawaban ga ada yg bener.. .. Yg di tanya ap jawabannya apa... Yg betul betul lah.. Kalo bikin aplikasi... Jangan suka merugikan pelanggan sendiri.... .. Jaringan juga ga stabil buat nonton yutube juga patah 3,1,1,1,-1,
Finn Simo hayha,1,2021-12-25 9:51:00,"Saya salah satu pengguna XL,berharap sinyal 4G yg bagus dr XL, tapi sering eror, sinyal sering jadi EDGE,.. lemoot e puoolllll,. Jadi ga iso kerja, ga bisa dapet orderan,. Trus yang di rugikan sapa ya? Kuota jug beli, ga gratis... MIKIR GA YA.. KAYAK SETINGAN SERVER E..",1,1,1,-1,
mns,1,2021-12-25 7:57:00,"setelah di update aplikasi tidak bisa beroperasi dengan baik, coba lagi terus. Pulsa saya juga terkuras walaupun saya tidak menghidupkan jaringan. Sudah isi kuota tapi tidak bisa dan coba lagi terus. Mohon diperbaiki. Terimakasih banyak",3,3,3,0,
Sahat H Lubis,1,2021-12-25 7:53:00,Jaringan XL makin Sampah. Setiap main game online putus2. Daerah Pekanbaru XL semakin Sampah. Jangan Kalian Hapus postingan Saya ne. Perbaiki Layanan kalian. Makin parah aja jaringan kalian. ðŸ˜¡ðŸ˜¡ macam tinggal di hutan kita.,1,1,1,-1,
Abu Adzra,1,2021-12-25 4:31:00,"Kenapa di xl store tidak ada penawaran ???????? Tulisannya Nantikan Penawaran Lainnya terrruuuusssss..... Gimana saya mau tau rincian atau detail dan informasi paket data yang mau saya beli.....????? Kalo harus dial *123# buat ada aplikasi myXL ????? Lebih baik provider sebelah, murah dan mudah..... Kita liat aja beberapa hari ke depan, klo masih ginih terus...wasalam deh..",3,3,3,0,
Agus bule,2,2021-12-25 4:13:00,"Kenapa setelah update 5.5.8 fitur my pin tidak bisa, beli paket juga tidak bisa, bagi paket juga 5idak bisa, harus buat pin baru, sedangkan fitur tersebut erorr.",3,3,3,0,
vera puspi,2,2021-12-25 1:34:00,"Saya sangat kecewa dengan komplain yg sengaja di blok oleh pihak XL Care supaya tidak muncul.... Pulsa saya berkurang padahal data seluler tidak diaktifkan dari sebelum top up pulsa sore hari sampai saat ini, lalu pulsa saya berkurang habis karena SMS langganan yg tidak sama sekali saya berlangganan.. parah!!! Saat saya mencoba menjelaskan kepada agen XL Care karena perpindahan beberapa agen sebumnya malah diblokir pesannya tidak muncul padahal sempat terkirim. ðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆðŸ˜ˆ",1,1,1,-1,
Galang DP,3,2021-12-25 17:26:00,Halo kak? Sejak pandemi sinyal my XL ko down truss ya.Sudah lama saya pakai tp baru kali ini sinyal down banget buat main!!!.Mohon diperbaiki lagi ya......ðŸ™,3,3,3,0,
Alfi Pangestu,3,2021-12-25 15:53:00,"Hello Pt XL axiata Tbk, ini saya pengguna baru XL, dari yang saya nilai kelancaran dan kestabilan sinyal bagus saat bermain walaupun mengerjakan sesuatu, tetapi dalam hal download kok lama ya ?, Dan dalam paket kouta kok cuman terbatas per bulan maksimal nya, mohon di pertingkatkan lagi ðŸ™ðŸ™",3,3,3,0,
Ajat Sudrajat,1,2021-12-25 14:49:00,Ini bukan masalah jaringan..tapi masalahnya kenapa apk my xl terasa berat sudah saya katakan susah masuk untuk pindah halaman udah uninstal jg tetap sama crash melulu.. Tolonglah di perbaiki lagi sistem di apk my xl... Biar gak berat ...terima kasih,3,3,3,0,
Muhammad Djikri Fadhilah,2,2021-12-25 14:30:00,Awal make xl bangga banget lancar jaya.. Tp makin ksini kok malah lelet banget sinyalnya.. Kuota masih banyak tp sering bgt ga bisa lancar make nya.. Jd ngerasa rugi beli kuota tp kek gini pas mau d pake.. KecewaðŸ˜«,1,1,1,-1,
Dewi Yulianti,2,2021-12-25 13:27:00,"Aplikasi memburuk, saya beli kuota x-tra on 1 GB tapi loadingnya lama -+5 menitan padahal sinyal full, saya balik ke dashboard dan refresh, awal pulsa masih utuh dan kuota paket masih kosong, trs keluar dari aplikasi XL tunggu sebentar (takut udah kebeli tapi pending) tapi belum masuk masuk juga pembeliannya, akhirnya buka kembali app XL dan beli dengan paket yang sama, dan langsung berhasil, tapi dapet 2 SMS pembelian kuota pas saya cek tenyata saya melakukan 2x pembelian kan ngeselin jdi rugi",1,1,1,-1,
kadek wira santika,5,2021-12-25 12:18:00,"apk nya baguz bnget,selain promo dan bonus kuota setelah isi pulsa,apk ini juga bisa top up voucher game,seperti free fire,mobile legends,codm,pubg mobile,ragnarok,dan masih bnyak lagi,harganya juga murahÂ²,pokoknya the best lah,gak nyesel download ini apk,terus kembangin apk ini ya min,tambahkan lebih banyak fitur lagi,seperti pembelian kuota xtra combo,dan diskon,semoga mimin sehat selaluðŸ™ðŸ‘",2,2,2,1,
The Bubbles,1,2021-12-25 10:17:00,"Permisi, kenapa pulsa saya terpotong setiap hari utk internet ya? Padahal saya sedang tidak menggunakan internet XL, saya mengisi pulsa agar tidak masuk masa tenggang, dan jika sudah terkumpul baru saya belikan kuota, setelah saya cek riwayat pulsa selalu terpotong setiap harinya... Kecewa sekali dengan xl, padahal saya masih ingin menggunakan nomor xl, tpi kalau seperti ini kayaknya saya biarkan masuk masa tenggang saja. Saya menulis disni karena fitur live chat sama sekali tidak membantu",3,3,3,0,
Dyan Desrianty,2,2021-12-24 5:32:00,kok kuota saya dari paket lain tiba2 hilang sih? padahal tanggal limitnya belum nyampe. apa emang gtu yah kalau beli paket lain otomatis paket yang lama jadi kehapus? padahal kuota saya masih adaðŸ˜­ðŸ˜­ðŸ˜­. mohon bantuannyaðŸ™ðŸ»,3,3,3,0,
Sello Beramasta,1,2021-12-24 3:56:00,"Apk nya terlalu ribet hampir tiap kali buka my xl nya minta update trus, kalo buka terlalu apk nya telalu lama beda kaya apk nya kuning sama merah cepat kalo my xl susah nya minta ampun,terlalu lemot klo sama jaringan sendiri,di kasih hotspot dulu sama si merah baru bisa,ayooo dong tingkatkan lagi kualitas apk nya",1,1,1,-1,
Maxi Symanuar Ishak,1,2021-12-24 2:45:00,aplikasi tolol !! terus aja ada update-an tapi error terus aplikasinya ! terus2an upgrade tapi untuk check kuota aja susah !!! ngotak woi ngotak,1,1,1,-1,
Yehezkiel,5,2021-12-24 15:22:00,"Kenapa ya kalau saya isi pulsa dan saya matikan data seluler, tapi pulsa nya tetap berkurang saya jadi tidak bisa mengaktifkan paket data saya, satu lagi, kenapa kalau mau masuk aplikasi my xl lama banget, kecewa pakai xl.",1,1,1,-1,
Candaran Wisnu,1,2021-12-24 12:12:00,"turut berduka cita atas matinya jaringan xl yang super lemot super busuk. beli paket buat dipake bukan buat koleksi. jaringan kaya sampah. rugi pake xl, pelayanan super busuk sangat mengecewakan.ðŸ•",1,1,1,-1,
Patrisia Tbn,5,2021-12-23 9:55:00,"Suka banget sama UI nya !!!ðŸ˜ðŸ˜ Selalu nyaman buat pake app nya dan buat dapatin promo juga gampang karna langsung dipasang di banner Homenya. UI designnya jadi salah satu inspirasi ku buat ngerjain project UI/UX, makasih banyak sudah menginspirasi.. Kalau kendala belum ada sih dan selalu suka pake appnya",2,2,2,1,
Dwi Rahayu Ningsih,3,2021-12-23 7:31:00,"Jaringan nya lumayan bagus, tapi apk nya kok ga konek konek terus ya,saya beli kuota dan cek di kode keypad masih lumayan banyak tapi di apknya malah ga ada.",3,3,3,0,
ngurah suryanegara,3,2021-12-23 6:51:00,"Saya punya dua kartu XL tapi sayang untuk kecepatan internet kalah jauh dengan Indosat,Mungki tempat tinggal yang mempengaruhi tapi kalau tinggalnya dikota seharusnya jaringan merata.jadi beli pulsa xl hanya buat memperperpanjang masa aktif plus buat aktivasi no WA tambahan,,,",3,3,3,0,
Abie RFNH,1,2021-12-23 6:43:00,"Tidak recomnded Paket game di xl. gak pernah bner..mobile data aktip,sudah di restart.. tp tetap selalu ngelag parah di tengah pertandingan mengakibatkan kerugian bagi pengguna ny...saya saran kan pindah ke paket game telkomsel jaringan normal lancar..",1,1,1,-1,
Made Widana,1,2021-12-23 6:19:00,"Yth.Tolong diperbaiki lagi untuk layanan Kartu XL, karena sering memotong pulsa diluar paket, padahal data sudah dinonaktif. Maaf, 1 bintang dulu ya. Terima kasihðŸ™",3,3,3,0,
Jepri Ana,1,2021-12-23 5:14:00,Kenapa ga bisa masuk ke dalam aplikasi...nama anda tinggi loh di indonesia jangan mengecewakan.saya suruh ambil bonus kuota karna isi pulsa dan di arahkan ke aplikasi ini. Tpi tidak dapat di buka kan lucu. Tolong perbaiki,1,1,1,-1,
Jasmin Nur Amanda,2,2021-12-23 4:00:00,"Saya pakai kartu yang berkategori BIZ dan biasanya ada promo di bagian atas beranda kenapa sekarang udh tidak ada lagi, udh lama tidak ada dan biasanya ada banyak pilihan di atas beranda yang bisa saya geser , padahal saya sudah sabar sama ini kartu XL jaringan mulai susah ya itu pasti Karna iklim juga jadi berpengaruh saya sabar sampai berbulan bulan sampai sekarang ini saya pakai Karna ada kuota belajarnya yang sinyalnya masih gitu , susah",1,1,1,-1,
frida tutu,2,2021-12-23 22:39:00,"kartu XL sangat bagus ,dan terkadang dapat promo yg sangat murah,,tetapi yang buat sya kecewa,sy tidak pernah mengaktifkan RBT,tetapi tiba2 pulsa saya dipotong",3,3,3,0,
Oka Pastika,1,2021-12-23 20:54:00,", aplikasi my XL telah terupdate ke vr 5.5.8, nomor dalam keadaan aktif, pulsa cukup tetapi masih gagal dalam pembelian paket. My XL selalu tidak respond",1,1,1,-1,
Fadil muhammad,2,2021-12-23 1:57:00,"Saya sudah beli paket, pas di nyalain kok ngeleg banget ya + paket nya ga berkurang, tolong diperbaiki secepat nya, BuangÂ² duit doang, dikiranya beli pake daun, dari kemaren ga aktif terus paketnya,",1,1,1,-1,
Achmad Fadjri,1,2021-12-23 13:10:00,"Baru tau setelah install aplikasi myXL. Ternyata ada dan perlu mengaktifkan fitur agar pulsa tidak terpotong otomatis ketika menggunakan internet,SMS promo, dsb. Ini pengalaman saya, dan menurut saya ini tidak fair. Ngapain lagi beli paket tapi ketika data seluler diaktifkan, masih kepotong pulsa.",3,3,3,0,
Ariadi,1,2021-12-22 2:57:00,Aduuuuuuhh.....ampyuuun. XL koq ancur gini jaringannya naik turun terus sinyalnya. Sampe ga pernah bisa masuk Ke myXL buat beli kuota. Krn pake aplikasi myXL yg lama bagus buat bertransaksi tp stlh ada permintaaan utk Update dgn aplikasi yg baru malah jd ancur. Toloooong dibenerin yaa....jgn sampe terus mengecewakan pelanggan.,1,1,1,-1,
Natalia Cristauli Lubis,2,2021-12-22 19:27:00,"Cuma mau bilang, MAKASIH untuk jaringan yang selalu tidak stabil, menghilang disaat lagi butuh. Drama banget! Udah mencoba betah selama setahun ini karena sesuka itu dulu sama XL, tapi egk ada perubahan. Tolong dong, pikirkan kenyamanan penikmat jaringan anda. Gk ada hubungan sama restart!! Gk STABIL! GERAAAMMMM",1,1,1,-1,
Hendry Wu,1,2021-12-22 17:53:00,"Kenapa gak bisa ganti email, walaupun sudah di ganti di profile tetap waktu verifikasi di kirim ke email lama, dan gak afa fitur nomor alternatif lagi Nb edit : Gak jelas nih cs , gak bisa dah di coba segala cara juga gak bisa, sekarang malahan gak terima verifikasi ke nomor nya sendiri malah cuma bisa SMS ke nomor alternatif saja yg dulu daftar",1,1,1,-1,
Fian Dwi Lesmono,1,2021-12-22 14:39:00,Xl bener bener jaringannya lemot banget udah sebulan lebih jaringannya seperti ini tidak stabil. Udah komplain tapi tidak ada solusi untuk mengatasi masalah jaringan yang lemot. Mohon agar segera diatasi ðŸ™,3,3,3,0,
Aarif SN,4,2021-12-22 13:38:00,"Lumayan efisien untuk proses pengecekan sisa kuota internet dan pulsa utama. Namun tolong sedikit diperbaiki bug yang sering muncul lumayan lama, seperti loading keterangan paket data yang lumayan lama.",3,3,3,0,
Dhaeng Dhalle17,5,2021-12-21 8:02:00,"Dear XL knp akhir2 ini sinyal internet nya makin ngawur,saya sudah bantu kasih bintang 5 loh tolong solusi nya buat kami semua dan jgn suruh kunjungi situs bla2bla,mayalah dll.klo ujung2nya gk ada solusinya apa harus saya ganti provaider lain nih biar lebih enteng sinyalnya ðŸ™‚ðŸ™ðŸ™ðŸ™",3,3,3,0,
Arul Arul,5,2021-12-21 7:10:00,"Menggunakan jaringan XL,,ternyata lebih murah,pas buat bersosmed,pas buat hape android,dan juga menggunakan jaringan XL dapat membeli paket unlimited dengan harga 0 RP,,,jaringan XL mantap benar..makasih XLðŸ˜ŠðŸ˜ŠðŸ˜˜",2,2,2,1,
Zaki Thalib,1,2021-12-21 6:03:00,"Dulu kalau pakai XL itu selalu bagus jaringannya, tetapi akhir akhir ini XL udah ngak kaya dulu lagi. XL sekarang jaringannya susah banget, buat buka apk aja loading terus",3,3,3,0,
Difa Laudza D,1,2021-12-21 5:32:00,"Tolong pihak xl mohon diperbaiki masa saya pake wifi buat internet, pulsa saya habis, padahal data udah mati, cuma wifi aja yang nyala tolong lah, saya pernah habis gak jelas pulsa 50rb kasusnya sama kaya gini, mau isi pulsa takutnya kaya gini lagi, gak isi masa aktif habis",1,1,1,-1,
Lutfiana Ayuningtyas,1,2021-12-21 2:51:00,"Halo kak semoga dibalas ya Jadi signal XL di rumah ku bagus "" aj buat buka tik tok fb, yt bisa, kuota jg masih banyak tp buka apk my XL ini knp ngga bs ya? Trs ada tulisan coba cek koneksi trs my xl nya udah di update, hp ku jg dah di restart masi ga bisa . Tolong bantuan nya",3,3,3,0,
muldi setiawan,1,2021-12-21 2:27:00,Kak mau tanya. Saya punya 2 kartu xl. Yg 1 kartu lama sdh dipakai. Yg 1 baru beli. Knp ya kak dikartu lama itu ga muncul paket extra on 4gb. Cm samapai 2gb aja. Tp di kartu baru ada dan bisa dibeli. Lebih murah pula harganya . Apakah paket ini cm ada di kartu baru aja kah?,3,3,3,0,
Vadhry Bantayan,5,2021-12-21 2:11:00,"My XL sangat berguna sekali untuk bermain game, melihat youtube dan buat download game sangat kencang sekali. kalo bonus nya sangat bermanfaat sekali walaupun kecil bonus nya tetapi saya tidak kecewa. Terima kasih banyak XL",2,2,2,1,
Putu Ariani,5,2021-12-21 23:56:00,apk nya bagus!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2,2,2,1,
Alpian Channel,1,2021-12-21 15:26:00,"Ahir ahir ini jaringan susah banget, buat main game, nonton youtub, fb, wa susah semua Jaringan lagi kenapa, utamakan kepuasan pelanggan tolong kasih kenyamanan pada jaringan",3,3,3,0,
Aji 26,1,2021-12-21 15:00:00,Kecewa saya sama xl kalo begini terus tidak ada perubahan Buat browsing lambat buat sosmed lambat apa lagi main game susah banget buat conec jaringan lambat banget malah kadang hilang lagi sinyal nya... Tolong lah di perbaiki jaringanya Bagaimana ini ?,1,1,1,-1,
Gu Feing,1,2021-12-21 14:43:00,"Tau lah , akhir akhir ini susah banget di pake , gw saranin ga usah pake xl , xl yang sekarang udah rusak jaringannya , parah banget serius , biasanya juga bagus tapi akhir akhir ini ga bagus sama sekali , udah waktunya pindah kartu, udah rusak jaringan xl sekarang",1,1,1,-1,
Bima WS,1,2021-12-21 14:16:00,"XL makin kesini bukan nya makin bagus pelayanannya malah makin jelek kuota sisa biasanya di akumulasi sekarang malah di hangusin kacau, kecew berat gue sama XL.. Hayu kita kasih bintang 1 aja biar berubah lagi kaya yang dulu yg menguntungkan costumer bukan merugikan customer..",1,1,1,-1,
eyza bahana,1,2021-12-21 14:00:00,gw kasih bintang 5 sampe masih dengan slogan nya eXtraLemot(XL).. gw kasih bintang 1 lagi njing!!!!makasih buat 5 tahun ini eXtraLemot.. gw kasih bintang 1 lagi.. makin anjeng ni jaringan,1,1,1,-1,
ã„ã‚ã•,4,2021-12-21 13:39:00,"Provider yang oke abis, aplikasi nya ui/ux nya nyaman. Promo buat pelanggan setianya juga banyak. Saran: tolong sediakan fitur, batalkan transaksi pada riwayat transaksi. Karena kemarin mau coba top up lewat briva, tercancel karena ada 3 transaksi yang belum selesai.",2,2,2,1,
Leonardo Frengky,4,2021-12-20 6:12:00,lebih nyaman dengan xl..karena kuota ny yang besar dan harga murah...tetapi untuk tempat disini agak kurang memadai terhadap jaringan xl yang kurang jika tidak ditaruh didinding,3,3,3,0,
Irvan Ade,4,2021-12-20 5:43:00,"belum saya kasih 5 bintang. soalnya kalo malam mau cek kuota kadang suka eror, dan kalo tidak ada data seluler yg aktif juga ngga bisaa masuk . mungkin kedepannya bisa di perbaiki lagi layanannya. trimakasih",3,3,3,0,
Rivals,1,2021-12-20 3:58:00,Klo ada bintang kosong mungkin pantas buat XL. Jaringan 4g klo nyalain data malah jadi 3g lemotnya minta ampun tapi kuota kesedot habis padahal buat internetan muter doang kaga jalan . Kartu perdana paling jelek menurut saya XL ini,1,1,1,-1,
nimo dj,3,2021-12-20 2:45:00,Katanya setiap aktivasi scan voucher dapat 1GB bonus...!! Ini masa bonus nya youtube 1gb 1 hari trus.. Trus yang bonus 1GB nya hanya iklan atau gimana . Mohon penjelasan Karna saya pemakai xl Ty,3,3,3,0,
